,name,frequence
1384,Noëline,1
1385,Noëlla,2
1386,Noëlle,5
1387,Noëllie,1
1388,Noëlline,1
1389,Noelly,1
1390,Noémi,1
1391,Noémie,4
1392,Noémy,1
1393,Nolwen,1
1394,Nolwenn,2
1395,Nonce,1
1396,Nora,3
1397,Norbert,4
1398,Noriane,1
1399,Noyale,1
1400,Océane,4
1401,Océanne,1
1402,Octave,1
1403,Octavie,1
1404,Octavien,1
1405,Odeline,1
1406,Odette,7
1407,Odile,6
1408,Odille,1
1409,Odilon,1
1410,Odyle,1
1411,Olga,3
1412,Olive,1
1413,Olivette,1
1414,Olivia,4
1415,Olivier,8
1416,Ollivier,1
1417,Olympe,1
1418,Ombeline,1
1419,Ombline,1
1420,Onésime,1
1421,Ophélia,1
1422,Ophélie,3
1423,Ophély,1
1424,Orane,1
1425,Orélie,1
1426,Oriane,1
1427,Orianne,1
1428,Orlane,1
1429,Orphée,1
1430,Othon,1
1431,Pacôme,1
1432,Palmire,1
1433,Palmyre,1
1434,Pamphile,1
1435,Pantxika,1
1436,Pâquerette,1
1437,Paquita,1
1438,Parfait,1
1439,Pascal,8
1440,Pascale,6
1441,Pascaline,3
1442,Pascual,1
1443,Patrice,7
1444,Patricia,7
1445,Patrick,8
1446,Paul,7
1447,Paula,2
1448,Paule,5
1449,Paulette,7
1450,Paulin,1
1451,Pauline,5
1452,Pegguy,1
1453,Peggy,4
1454,Peguy,1
1455,Pélagie,1
1456,Pépin,1
1457,Périne,1
1458,Perle,1
1459,Perline,1
1460,Pernelle,1
1461,Péroline,1
1462,Perpétue,1
